Delay	Jitter	Drops	ќценка
0	0	0	1
200	25	0	1
200	50	0	1
200	75	0	1
0	0	0,01	1
0	0	0,2	0
0	0	0,05	1
0	0	0,1	0
0	0	0,25	0
0	0	0,15	0
200	100	0	1
200	125	0	0
200	10	0	1
200	150	0	0
200	175	0	0
0	0	0,13	1
0	0	0,07	1
200	25	0,01	1
200	50	0,01	1
200	25	0,05	1
200	75	0,1	0
200	150	0,1	0
200	100	0,1	0
200	125	0,1	0
200	175	0,1	0
200	75	0,12	1
200	75	0,13	0
200	125	0,13	0
200	100	0,13	0
200	75	0,05	1
200	75	0,07	0
200	125	0,07	0
2000	0	0	1
2500	0	0	0
3000	0	0	0
3500	0	0	0
2000	125	0	0
2000	150	0	0
2000	100	0	1
2000	115	0	1
2200	115	0	0
2200	125	0	0
2200	135	0	0
2000	0	0,01	1
2000	0	0,05	1
2000	0	0,1	0
2200	0	0,01	1
2200	0	0,07	1
2200	0	0,1	0
2200	0	0,15	0
2500	0	0,05	0
2500	0	0,03	0
2700	0	0,02	0
1500	25	0	1
1500	50	0	1
1500	125	0	0
1800	25	0	1
1800	50	0	1
1800	125	0	1
2000	25	0	1
